"Timestamp","What is your gender? ذكر ام انثى؟","What is your current education level? المستوى العلمي الحالي؟","Are you planning to travel abroad within the next two years?  هل تنوي السفر خارج لبنان خلال السنتين القادمتين؟","What is your area of study? ماذا تدرس؟","What is your main source of income? ما هو مصدر دخلك؟","How much money (in US Dollars) do you spend monthly?  كم تصرف بالشهر؟ )بالدولار)","How much money (in US Dollars) do you save monthly? كم توفّر من المال جانبا كل شهر؟","How long do you sleep per day?  كم ساعة تنام باليوم؟","How much time do you spend socializing per week?  كم ساعة تقريبا بالسبوع تختلط مع الناس (اجتماعيات)؟","How much time do you spend watching Lebanese news?  ما مدى اهتمامك بالأخبار(السياسية و الاقتصادية) عن لبنان؟","How often have you been upset because of something that happened unexpectedly? كم مرة انزعجت بسبب شيء حدث بشكل غير متوقع؟","How often have you felt that you were unable to control important things in your life?  كم مرة شعرت أنك غير قادر على التحكم في الأمور المهمة في حياتك؟","How often you felt nervous and stressed?  كم مرة شعرت بالتوتر والضغط؟","How often have you dealt successfully with irritating life hassles?  كم مرة تعاملت بنجاح مع متاعب الحياة المزعجة؟","How often have you felt that you were effectively coping with important changes that were occurring in your life?  كم مرة شعرت أنك تتعامل بفعالية مع التغييرات المهمة التي حدثت في حياتك؟","How often have you felt confidence about your ability to handle your personal problems?  كم مرة شعرت بالثقة بشأن قدرتك على التعامل مع مشاكلك الشخصية؟","How often have you felt that things were going your way?  كم مرة شعرت أن الأمور تسير في طريقك؟","How often have you found that you could not cope with all the things that you had to do?  كم مرة وجدت أنك لا تستطيع التعامل مع كل الأشياء التي كان عليك القيام بها؟","How often have you been able to control irritations in your life?  كم مرة تمكنت من السيطرة على المضايقات في حياتك؟","How often have you felt that you were on top of things?  كم مرة شعرت أنك على رأس الأمور؟","How often have you been angered because of things that happened that were outside of your control?  كم مرة شعرت بالغضب بسبب أشياء حدثت خارجة عن إرادتك؟","How often have you found yourself thinking about things that you have to accomplish?  كم مرة وجدت نفسك تفكر في الأشياء التي عليك إنجازها؟","How often have you been able to control the way you spend your time?  كم مرة تمكنت من التحكم في الطريقة التي تقضي بها وقتك؟","How often have you felt difficulties were piling up so high that you could not overcome them?  كم مرة شعرت أن الصعوبات تتراكم بشكل كبير لدرجة أنك لا تستطيع التغلب عليها؟"
"2023/12/28 4:45:24 PM GMT+1","Male","Masters","Yes","Accounting and auditing ","Family","200$","20$","More than 7 hours","Between 20 hours and 30 hours per week","A lot","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"2023/12/28 4:47:33 PM GMT+1","Female","Masters","No","Marketing ","Family","More than 500$"," 0 $","More than 7 hours","Less than 10 hours per week","I just keep myself informed","4","4","4","4","4","4","2","2","2","2","2","2","2","3"
"2023/12/28 4:51:11 PM GMT+1","Female","Masters","Yes","Management","Family","200$","0","More than 7 hours","Less than 10 hours per week","Every once in a long while","3","1","1","3","3","4","3","2","3","2","2","4","2","2"
"2023/12/28 4:58:59 PM GMT+1","Female","Masters","Yes","Mis","Family","250$","10$","More than 7 hours","Less than 10 hours per week","I just keep myself informed","2","1","1","2","3","3","1","4","2","1","2","4","3","3"
"2023/12/28 4:59:00 PM GMT+1","Male","Masters","Yes","Computer Science","Work","400","100","Between 5 hours and 7 hours","Less than 10 hours per week","I just keep myself informed","4","0","4","3","4","4","2","0","2","3","4","4","4","0"
"2023/12/28 4:59:10 PM GMT+1","Male","Masters","No","MIS","Work","400$","600$","Between 5 hours and 7 hours","Less than 10 hours per week","I just keep myself informed","3","2","4","3","2","3","2","2","3","1","2","4","1","2"
"2023/12/28 5:10:40 PM GMT+1","Female","Masters","No","Management","Family","150$","0","Between 5 hours and 7 hours","Between 20 hours and 30 hours per week","I just keep myself informed","3","3","3","3","2","2","2","4","2","2","4","4","2","4"
"2023/12/28 5:20:04 PM GMT+1","Female","Masters","No","I dont have much","Work","800","Nothing","Between 5 hours and 7 hours","Less than 10 hours per week","Every once in a long while","2","3","1","2","2","2","3","2","2","2","2","2","2","2"
"2023/12/28 6:03:25 PM GMT+1","Male","Masters","No","Marketing ","Work","100$","10","Between 5 hours and 7 hours","Less than 10 hours per week","I just keep myself informed","4","4","4","2","3","3","4","3","3","4","4","3","2","2"
"2023/12/28 7:41:07 PM GMT+1","Female","Masters","No","Biochemistry & business management ","Work","1000$","1000","Between 5 hours and 7 hours","Less than 10 hours per week","I don't care","2","2","1","4","3","4","2","1","1","3","2","3","3","2"
